event,phase,id,action,player,amount,private,who,percentage,company,round,source,train
PriorityDeal,,914,,riverfiend,,,,,,,,
OperatingRound,,915,,,,,,,,7.1,,
CompanyOperation,,916,,e,,,,,B&O,,,
Pass,,917,,,,,O,,,,,
Pass,,922,,,,,O,,,,,
CompanyOperation,,924,,n,,,,,CPR,,,
CompanyOperation,,936,,n,,,,,NYNH,,,
Pass,,942,,,,,NYNH,,,,,
CompanyOperation,,944,,m,,,,,NYC,,,
Pass,,945,,,,,NYC,,,,,
CompanyOperation,,953,,e,,,,,B&M,,,
Pass,,959,,,,,M,,,,,
CompanyOperation,,961,,d,,,,,C&O,,,
Pass,,962,,,,,O,,,,,
Pass,,967,,,,,O,,,,,
CompanyOperation,,969,,d,,,,,ERIE,,,
Pass,,975,,,,,ERIE,,,,,
CompanyOperation,,977,,n,,,,,PRR,,,
Pass,,983,,,,,PRR,,,,,
OperatingRound,,985,,,,,,,,7.2,,
CompanyOperation,,986,,e,,,,,B&O,,,
Pass,,992,,,,,O,,,,,
CompanyOperation,,994,,n,,,,,NYNH,,,
Pass,,1000,,,,,NYNH,,,,,
CompanyOperation,,1002,,n,,,,,CPR,,,
CompanyOperation,,1010,,m,,,,,NYC,,,
Pass,,1016,,,,,NYC,,,,,
CompanyOperation,,1018,,e,,,,,B&M,,,
Pass,,1024,,,,,M,,,,,
CompanyOperation,,1026,,d,,,,,C&O,,,
Pass,,1032,,,,,O,,,,,
CompanyOperation,,1034,,d,,,,,ERIE,,,
Pass,,1040,,,,,ERIE,,,,,
CompanyOperation,,1042,,n,,,,,PRR,,,
Pass,,1048,,,,,PRR,,,,,
OperatingRound,,1050,,,,,,,,7.3,,
CompanyOperation,,1051,,e,,,,,B&O,,,
,,1057,Buy,,98,,,,O,,B&M,6
CompanyOperation,,1059,,n,,,,,NYNH,,,
Pass,,1065,,,,,NYNH,,,,,
CompanyOperation,,1067,,n,,,,,CPR,,,
CompanyOperation,,1075,,m,,,,,NYC,,,
Pass,,1081,,,,,NYC,,,,,
CompanyOperation,,1083,,e,,,,,B&M,,,
CompanyOperation,,1092,,d,,,,,ERIE,,,
Pass,,1098,,,,,ERIE,,,,,
CompanyOperation,,1100,,d,,,,,C&O,,,
Pass,,1106,,,,,O,,,,,
CompanyOperation,,1108,,n,,,,,PRR,,,
Pass,,1114,,,,,PRR,,,,,
StockRound,,1116,,,,,,,,8,,
,,1120,Buy,leesin,90,,,10,NYC,,market,
,,1122,Buy,mpakfm,100,,,10,CPR,,IPO,
Pass,,1130,,,,,riverfiend,,,,,
,,1131,Buy,leesin,90,,,10,NYC,,IPO,
Pass,,1133,,,,,mpakfm,,,,,
Pass,,1134,,,,,mpcoyne,,,,,
Pass,,1135,,,,,riverfiend,,,,,
,,1136,Buy,leesin,90,,,10,CPR,,market,
Pass,,1138,,,,,mpakfm,,,,,
Pass,,1139,,,,,mpcoyne,,,,,
Pass,,1140,,,,,riverfiend,,,,,
Pass,,1141,,,,,leesin,,,,,
PriorityDeal,,1147,,mpakfm,,,,,,,,
OperatingRound,,1148,,,,,,,,8.1,,
CompanyOperation,,1149,,e,,,,,B&O,,,
CompanyOperation,,1158,,n,,,,,NYNH,,,
Pass,,1164,,,,,NYNH,,,,,
CompanyOperation,,1166,,m,,,,,NYC,,,
Pass,,1167,,,,,NYC,,,,,
Pass,,1172,,,,,NYC,,,,,
CompanyOperation,,1174,,n,,,,,CPR,,,
Pass,,1180,,,,,CPR,,,,,
CompanyOperation,,1182,,d,,,,,ERIE,,,
Pass,,1188,,,,,ERIE,,,,,
CompanyOperation,,1190,,e,,,,,B&M,,,
CompanyOperation,,1198,,d,,,,,C&O,,,
Pass,,1204,,,,,O,,,,,
CompanyOperation,,1206,,n,,,,,PRR,,,
Pass,,1208,,,,,PRR,,,,,
Pass,,1212,,,,,PRR,,,,,
OperatingRound,,1214,,,,,,,,8.2,,
